摄像头编号 笼子编号 时段 变化点数
ch03 1-2 3 85954.0
ch03 2-2 3 133210.0
ch03 2-1 3 102943.0
ch03 1-2 3 76565.0
ch03 1-1 3 101561.0
ch03 2-2 2 146823.0
ch03 2-1 2 123651.0
ch03 1-2 2 94095.0
ch03 1-1 2 83888.0
ch03 1-1 11 42482.0
ch03 1-1 3 127785.0
ch03 1-1 4 69851.0
ch03 1-2 4 70084.0
ch03 2-1 4 109351.0
ch03 2-2 6 108668.0
ch03 2-1 6 115166.0
ch03 1-2 6 69965.0
ch03 1-1 6 51522.0
ch03 2-2 6 132676.0
ch03 2-1 6 95121.0
ch03 1-2 6 66463.0
ch03 1-1 6 94607.0
ch03 2-2 6 129313.0
ch03 2-1 6 109397.0
ch03 1-2 6 69530.0
ch03 1-1 6 90449.0
ch03 2-2 5 116280.0
ch03 2-1 5 107173.0
ch03 1-2 5 67895.0
ch03 1-1 5 64084.0
ch03 2-2 5 138515.0
ch03 2-1 5 99775.0
ch03 1-2 5 62529.0
ch03 1-1 5 55353.0
ch03 2-2 4 131359.0
ch03 1-2 7 54689.0
ch03 1-2 11 60347.0
ch03 1-2 18 63648.0
ch03 2-2 11 77544.0
ch03 2-2 19 99084.0
ch03 1-1 19 52374.0
ch03 1-2 19 77062.0
ch03 2-1 19 48879.0
ch03 2-2 19 65160.0
ch03 1-1 20 47598.0
ch03 1-2 20 72897.0
ch03 2-1 20 52469.0
ch03 2-2 20 68985.0
ch03 2-1 19 62655.0
ch03 1-1 20 48173.0
ch03 2-1 20 64564.0
ch03 2-2 20 98432.0
ch03 1-1 20 49967.0
ch03 1-2 20 70324.0
ch03 2-1 20 83971.0
ch03 2-2 20 108376.0
ch03 1-1 21 58537.0
ch03 1-2 21 76732.0
ch03 2-1 21 67660.0
ch03 1-2 20 78432.0
ch03 2-2 21 81217.0
ch03 1-2 19 78889.0
ch03 2-2 18 74920.0
ch03 1-1 15 48470.0
ch03 1-1 17 44977.0
ch03 1-2 17 55782.0
ch03 2-1 17 45800.0
ch03 2-2 17 60209.0
ch03 1-1 17 34717.0
ch03 1-2 17 51214.0
ch03 2-1 17 35267.0
ch03 2-2 17 55997.0
ch03 1-1 19 52098.0
ch03 1-1 18 31597.0
ch03 2-1 18 31695.0
ch03 2-2 18 60039.0
ch03 1-1 18 48768.0
ch01 2-2 24 129039.0
ch03 2-1 18 48893.0
ch03 2-2 18 73794.0
ch03 1-1 18 43768.0
ch03 1-2 18 56367.0
ch03 2-1 18 58097.0
ch03 1-2 18 58094.0
ch03 2-1 11 59168.0
ch03 1-1 21 43296.0
ch03 2-1 21 73635.0
ch03 2-2 24 102144.0
ch03 1-2 15 37323.0
ch03 1-1 15 32942.0
ch03 2-2 14 69124.0
ch03 2-1 14 68449.0
ch03 1-1 14 30921.0
ch03 2-2 14 65849.0
ch03 2-1 14 60448.0
ch03 1-2 14 30305.0
ch03 2-1 24 58967.0
ch03 2-2 13 59164.0
ch03 1-1 13 35371.0
ch03 2-2 12 78211.0
ch03 2-1 12 59995.0
ch03 1-2 12 55858.0
ch03 1-1 12 48429.0
ch03 2-2 12 85298.0
ch03 2-1 12 71658.0
ch03 1-2 12 60051.0
ch03 1-1 12 43708.0
ch03 1-2 13 48784.0
ch03 1-2 21 72507.0
ch03 1-2 24 56057.0
ch03 2-2 23 97696.0
ch03 2-2 21 83987.0
ch03 1-1 22 51516.0
ch03 1-2 22 72371.0
ch03 2-1 22 67689.0
ch03 2-2 22 93280.0
ch03 1-1 22 46590.0
ch03 1-2 22 72987.0
ch03 2-1 22 55670.0
ch03 2-2 22 103482.0
ch03 1-1 24 39485.0
ch03 1-1 22 51260.0
ch03 2-1 22 66672.0
ch03 2-2 22 103211.0
ch03 1-2 15 53932.0
ch03 1-1 15 47544.0
ch03 2-2 15 73378.0
ch03 2-1 15 54923.0
ch03 1-1 23 45123.0
ch03 1-2 23 65804.0
ch03 2-1 23 53036.0
ch03 1-2 22 83877.0
ch03 2-2 15 67944.0
ch03 2-1 15 37602.0
ch02 1-2 13 135813.0
ch02 1-1 13 124825.0
ch02 1-1 13 101337.0
ch02 1-2 13 134156.0
ch02 1-1 13 120942.0
ch02 1-2 12 113897.0
ch02 1-1 12 107988.0
ch02 1-2 12 121536.0
ch02 1-1 12 98897.0
ch02 1-2 11 233588.0
ch02 1-1 11 247839.0
ch02 1-2 11 196579.0
ch02 1-1 11 220441.0
ch02 1-2 11 220207.0
ch02 1-2 13 137510.0
ch02 1-2 9 94057.0
ch02 1-2 9 117455.0
ch02 1-1 9 82643.0
ch02 1-2 8 49436.0
ch02 1-1 8 22701.0
ch02 1-2 8 131846.0
ch02 1-1 8 97232.0
ch02 1-2 7 71951.0
ch02 1-1 7 48297.0
ch04 1-2 5 124461.0
ch02 1-1 7 92587.0
ch02 1-2 7 113486.0
ch02 1-1 7 88129.0
ch02 1-2 6 112138.0
ch02 1-1 9 84944.0
ch02 1-1 6 89339.0
ch02 1-1 14 113610.0
ch04 1-1 0 5118.0
ch04 1-1 5 136769.0
ch04 1-2 5 118155.0
ch04 1-1 5 138928.0
ch04 1-2 4 116057.0
ch04 1-1 4 128662.0
ch04 1-2 4 118914.0
ch04 1-1 4 137361.0
ch04 1-2 3 117144.0
ch04 1-1 3 127508.0
ch04 1-2 3 119654.0
ch04 1-1 3 124696.0
ch04 1-2 3 130332.0
ch04 1-1 3 135857.0
ch02 1-2 14 124562.0
ch04 1-2 2 126222.0
ch04 1-2 2 113555.0
ch04 1-1 2 129839.0
ch04 1-2 1 146194.0
ch04 1-1 1 139711.0
ch04 1-2 1 125385.0
ch04 1-1 1 124450.0
ch04 1-2 1 125267.0
ch04 1-1 1 128476.0
ch04 1-2 0 120211.0
ch04 1-1 0 135008.0
ch04 1-2 0 128982.0
ch04 1-1 0 139974.0
ch04 1-2 0 2627.0
ch04 1-1 2 135884.0
ch02 1-2 6 111128.0
ch02 1-2 7 121899.0
ch02 1-2 5 195924.0
ch01 1-2 20 111679.0
ch01 2-2 20 112396.0
ch01 1 0 137194.0
ch01 1 1 137123.0
ch01 1 1 147720.0
ch02 1-1 6 86825.0
ch01 1 1 135747.0
ch01 1 2 122814.0
ch01 1 2 129126.0
ch01 1 2 155269.0
ch01 1 3 132625.0
ch01 1 3 128629.0
ch01 1 4 143318.0
ch01 1-1 21 102706.0
ch01 1 4 160148.0
ch01 2-2 20 140393.0
ch01 1-2 20 129054.0
ch01 1-1 20 130738.0
ch01 2-2 19 120253.0
ch01 1-2 19 121292.0
ch01 1-1 19 148365.0
ch01 2-2 17 143422.0
ch01 1-2 17 113777.0
ch01 1-1 17 119493.0
ch01 1 13 123509.0
ch01 1 6 136962.0
ch01 1 6 137861.0
ch01 1 5 151574.0
ch01 1-1 20 135034.0
ch01 1 5 148762.0
ch01 1-2 21 98665.0
ch01 2-2 21 78108.0
ch02 1-2 4 0.0
ch02 1-1 4 0.0
ch02 1-2 4 2.0
ch02 1-1 4 160.0
ch02 1-2 4 11037.0
ch02 1-1 4 2769.0
ch02 1-2 3 92387.0
ch02 1-1 3 81536.0
ch02 1-2 3 110376.0
ch02 1-1 3 89484.0
ch02 1-2 2 109097.0
ch02 1-1 2 90566.0
ch02 1-2 2 112434.0
ch01 1 0 122714.0
ch02 1-1 2 103618.0
ch01 1-1 24 100765.0
ch01 2-2 23 160666.0
ch01 1-2 23 96627.0
ch01 1 0 165794.0
ch02 1-2 0 159983.0
ch02 1-1 0 211802.0
ch01 1-1 23 133179.0
ch01 1-1 23 107244.0
ch01 2-2 23 134573.0
ch01 1-2 23 98258.0
ch01 2-2 21 77102.0
ch01 1-2 21 107357.0
ch01 1-1 21 115151.0
ch01 1-2 24 106968.0
ch01 1 4 143368.0
ch01 1-1 22 165561.0
ch01 1-1 20 159199.0
ch01 2-1 20 109202.0
ch01 1-1 21 137319.0
ch01 2-1 21 104442.0
ch01 1-1 21 156551.0
ch01 2-1 21 147974.0
ch01 2-2 21 135202.0
ch01 2-1 22 123264.0
ch01 2-2 22 115541.0
ch01 1-1 22 191193.0
ch01 2-1 22 120556.0
ch01 2-2 22 119770.0
ch01 2-1 20 138920.0
ch01 1-1 20 139305.0
ch02 1-2 6 95906.0
ch01 1-1 20 159763.0
ch01 2-1 15 131508.0
ch01 1-2 15 115722.0
ch01 1-1 15 132382.0
ch01 2-1 15 102783.0
ch01 1-2 15 90244.0
ch01 1-1 15 91296.0
ch01 2-1 15 95412.0
ch01 1-2 15 81419.0
ch01 1-1 15 92186.0
ch01 1-1 16 50976.0
ch01 2-1 14 75244.0
ch01 1-1 14 88921.0
ch01 2-1 14 181467.0
ch01 1-2 14 136638.0
ch01 1-1 14 161950.0
ch01 2-1 13 251107.0
ch01 1-2 13 188797.0
ch01 1-1 13 217626.0
ch01 1-1 22 163417.0
ch01 2-1 13 232029.0
ch01 1-2 14 80035.0
ch01 2-1 20 121937.0
ch01 2-1 16 31696.0
ch01 2-1 16 25358.0
ch01 2-1 19 107183.0
ch01 1-1 19 160254.0
ch01 1-1 19 166904.0
ch01 2-2 18 113837.0
ch01 2-1 18 190324.0
ch01 1-1 18 174017.0
ch01 2-2 18 93194.0
ch01 2-1 18 84372.0
ch01 1-1 18 71523.0
ch01 1-1 16 46191.0
ch01 2-2 18 90444.0
ch01 1-1 18 74716.0
ch01 2-2 17 89080.0
ch01 2-1 17 85369.0
ch01 1-1 17 85163.0
ch01 2-2 17 95856.0
ch01 2-1 17 80529.0
ch01 1-1 17 80238.0
ch01 1-2 17 21338.0
ch01 1-1 17 49899.0
ch01 2-1 18 99086.0
ch01 2-1 22 123548.0
ch02 1-1 2 80014.0
ch02 1-2 5 101125.0
ch02 2-1 2 102169.0
ch02 1-2 2 121214.0
ch02 1-1 2 93857.0
ch02 2-2 1 145606.0
ch02 2-1 1 124099.0
ch02 1-2 1 145259.0
ch02 1-1 1 89077.0
ch02 2-2 1 126521.0
ch02 2-1 1 104485.0
ch02 1-2 1 143185.0
ch02 1-1 1 85898.0
ch02 2-2 1 101878.0
ch02 2-1 1 141552.0
ch02 2-2 2 115958.0
ch02 1-2 1 129332.0
ch02 2-2 0 157776.0
ch02 2-1 0 144984.0
ch02 1-2 0 144283.0
ch02 1-1 0 78918.0
ch02 2-2 0 124886.0
ch02 2-1 0 114708.0
ch02 1-2 0 104915.0
ch02 1-1 0 56979.0
ch02 2-2 0 89156.0
ch02 2-1 0 75259.0
ch02 1-2 0 82012.0
ch02 1-1 0 47565.0
ch01 2-1 23 137203.0
ch02 1-1 1 86136.0
ch01 1-2 13 186603.0
ch02 1-2 2 107974.0
ch02 2-1 2 79542.0
ch02 1-1 5 70551.0
ch02 2-2 5 202711.0
ch02 2-1 5 83414.0
ch02 1-2 5 108119.0
ch02 1-1 5 75522.0
ch02 2-2 5 135249.0
ch02 2-1 5 107677.0
ch02 1-2 5 103501.0
ch02 1-1 5 77333.0
ch02 2-2 4 130383.0
ch02 2-1 4 100038.0
ch02 1-2 4 95402.0
ch02 1-1 4 80761.0
ch02 2-2 4 151500.0
ch02 2-1 4 112103.0
ch02 1-2 4 115892.0
ch02 1-1 4 78303.0
ch02 2-2 3 140512.0
ch02 2-1 3 141650.0
ch02 1-2 3 129241.0
ch02 1-1 3 117040.0
ch02 2-2 3 127680.0
ch02 2-1 3 94556.0
ch02 1-2 3 123972.0
ch02 1-1 3 76548.0
ch02 2-1 3 87918.0
ch02 1-2 3 134171.0
ch02 1-1 3 87757.0
ch02 2-2 2 83937.0
ch01 2-2 22 130052.0
ch02 1-1 6 77788.0
ch01 1-1 13 231777.0
ch01 1-2 13 117815.0
ch02 1-2 17 132202.0
ch02 1-1 17 86472.0
ch02 1-2 16 290750.0
ch02 1-1 16 239740.0
ch02 1-2 16 378661.0
ch02 1-1 16 230441.0
ch02 1-1 16 204120.0
ch02 1-2 15 314605.0
ch02 1-1 15 140166.0
ch02 2-2 15 157187.0
ch02 2-1 15 108978.0
ch02 1-2 15 96229.0
ch02 1-1 15 80269.0
ch02 2-1 17 117426.0
ch02 2-2 5 203331.0
ch02 1-2 14 58911.0
ch02 1-1 14 43742.0
ch02 2-2 14 187095.0
ch02 2-1 14 172517.0
ch02 1-2 14 111782.0
ch02 1-1 14 95171.0
ch02 2-2 14 169374.0
ch02 1-2 13 332578.0
ch02 1-1 13 380100.0
ch02 1-2 12 275448.0
ch02 1-1 12 239168.0
ch02 2-2 12 171611.0
ch02 2-1 12 175075.0
ch02 2-1 14 68634.0
ch02 1-2 12 108264.0
ch02 2-2 17 172850.0
ch02 1-2 17 93432.0
ch02 2-1 20 122519.0
ch02 1-2 20 106178.0
ch02 1-1 20 87906.0
ch02 2-2 20 142901.0
ch02 2-1 20 123955.0
ch02 1-2 20 102446.0
ch02 1-1 20 83632.0
ch02 2-2 19 136196.0
ch02 2-1 19 122550.0
ch02 1-2 19 101739.0
ch02 1-1 19 74230.0
ch02 2-2 19 153140.0
ch02 2-1 19 118136.0
ch02 1-1 17 66777.0
ch02 1-2 19 93612.0
ch02 2-2 18 128509.0
ch02 2-1 18 105017.0
ch02 1-2 18 97683.0
ch02 1-1 18 75884.0
ch02 2-2 18 129295.0
ch02 2-1 18 99129.0
ch02 1-2 18 97500.0
ch02 1-1 18 65748.0
ch02 2-2 18 131612.0
ch02 2-1 18 108609.0
ch02 1-2 18 95295.0
ch02 1-1 18 73437.0
ch02 2-1 17 83224.0
ch02 1-1 19 84285.0
ch02 2-2 20 131795.0
ch02 1-1 12 156860.0
ch02 2-1 12 126240.0
ch02 1-2 9 90296.0
ch02 1-1 9 86121.0
ch02 2-2 8 195799.0
ch02 2-1 8 141915.0
ch02 1-2 8 119141.0
ch02 1-1 8 65152.0
ch02 2-2 8 116860.0
ch02 2-1 8 69143.0
ch02 1-2 8 54190.0
ch02 1-1 8 35201.0
ch02 2-2 7 155367.0
ch02 2-1 7 211083.0
ch02 1-2 7 95521.0
ch02 2-1 9 163792.0
ch02 1-1 7 75057.0
ch02 2-1 7 150949.0
ch02 1-2 7 97624.0
ch02 1-1 7 69103.0
ch02 2-2 7 206250.0
ch02 2-1 7 144775.0
ch02 1-2 7 82380.0
ch02 1-1 7 65303.0
ch02 2-2 6 216896.0
ch02 2-1 6 140586.0
ch02 1-2 6 77236.0
ch02 1-1 6 75987.0
ch02 2-2 6 185623.0
ch02 2-1 6 176800.0
ch02 2-2 7 163250.0
ch02 2-2 12 168277.0
ch02 2-2 9 169302.0
ch02 1-2 9 85204.0
ch02 1-2 12 91274.0
ch02 1-1 12 60367.0
ch02 2-2 11 154496.0
ch02 2-1 11 69428.0
ch02 1-2 11 76104.0
ch02 1-1 11 48055.0
ch02 2-2 11 125934.0
ch02 2-1 11 118467.0
ch02 1-2 11 79396.0
ch02 1-1 11 53026.0
ch02 2-2 11 74076.0
ch02 2-1 11 18411.0
ch02 1-2 11 31047.0
ch02 1-1 9 49753.0
ch02 1-1 11 11946.0
ch02 2-1 10 137793.0
ch02 1-2 10 170029.0
ch02 1-1 10 91551.0
ch02 2-2 10 176989.0
ch02 2-1 10 128491.0
ch02 1-2 10 93934.0
ch02 1-1 10 79004.0
ch02 2-2 9 188117.0
ch02 2-1 9 117258.0
ch02 1-2 9 85447.0
ch02 1-1 9 51523.0
ch02 2-2 9 163712.0
ch02 2-1 9 111616.0
ch02 2-2 10 193055.0
ch01 2-1 13 122214.0
ch02 1-1 20 77190.0
ch02 2-1 20 119727.0
ch01 1-2 8 99097.0
ch01 1-1 8 109307.0
ch01 2-1 8 127062.0
ch01 1-2 8 102786.0
ch01 1-1 8 114218.0
ch01 2-1 7 114805.0
ch01 1-2 7 101656.0
ch01 1-1 7 107521.0
ch01 2-1 7 111428.0
ch01 1-2 7 102176.0
ch01 1-1 7 118975.0
ch01 2-1 7 116045.0
ch01 1-2 7 100669.0
ch01 2-1 8 120436.0
ch01 1-1 7 118182.0
ch01 1-2 6 101726.0
ch01 1-1 6 126874.0
ch01 2-1 6 119009.0
ch01 1-2 6 100907.0
ch01 1-1 6 116865.0
ch01 2-1 6 105087.0
ch01 1-2 6 97888.0
ch01 1-1 6 118745.0
ch01 2-1 5 113827.0
ch01 1-2 5 103380.0
ch01 1-1 5 119264.0
ch01 2-1 5 121038.0
ch01 1-2 5 98981.0
ch01 2-1 6 108999.0
ch01 1-1 5 119529.0
ch01 1-1 9 100551.0
ch01 2-1 9 101308.0
ch01 1-1 13 126309.0
ch01 2-1 12 129339.0
ch01 1-2 12 96239.0
ch01 1-1 12 87357.0
ch01 2-1 12 2563.0
ch01 1-2 12 2913.0
ch01 1-1 12 6411.0
ch01 2-1 11 74571.0
ch01 1-2 11 67112.0
ch01 1-1 11 72533.0
ch01 2-1 11 235.0
ch01 1-2 11 4296.0
ch01 1-1 11 1569.0
ch01 1-2 9 99706.0
ch01 2-1 11 133409.0
ch01 1-1 11 102849.0
ch01 2-1 10 102595.0
ch01 1-2 10 95451.0
ch01 1-1 10 79180.0
ch01 2-1 10 266.0
ch01 1-2 10 12620.0
ch01 1-1 10 430.0
ch01 2-1 9 74147.0
ch01 1-2 9 68737.0
ch01 1-1 9 107306.0
ch01 2-1 9 129921.0
ch01 1-2 9 90598.0
ch01 1-1 9 83756.0
ch01 1-2 11 105745.0
ch02 1-2 20 107585.0
ch01 2-1 4 120237.0
ch01 1-1 4 117752.0
ch01 1-1 0 126961.0
ch01 2-1 0 109412.0
ch01 1-2 0 113047.0
ch01 1-1 0 122810.0
ch02 2-1 5 142736.0
ch02 2-2 23 107731.0
ch02 2-1 23 116004.0
ch02 1-2 23 108797.0
ch02 1-1 23 84147.0
ch02 2-2 23 125498.0
ch02 2-1 23 122554.0
ch02 1-2 23 122480.0
ch02 1-1 23 99322.0
ch01 1-2 0 123146.0
ch02 2-2 22 131268.0
ch02 1-2 22 116864.0
ch02 1-1 22 93504.0
ch02 2-2 22 136940.0
ch02 2-1 22 112056.0
ch02 2-2 21 139936.0
ch02 2-1 21 117354.0
ch02 1-2 21 125272.0
ch02 1-1 21 84684.0
ch02 2-2 21 132636.0
ch02 2-1 21 104815.0
ch02 1-2 21 101523.0
ch02 1-1 21 79517.0
ch02 2-2 20 150444.0
ch02 2-1 22 124451.0
ch01 1-2 4 97708.0
ch01 2-1 0 130731.0
ch01 1-2 0 126378.0
ch01 2-1 4 123773.0
ch01 1-2 4 103666.0
ch01 1-1 4 119410.0
ch01 2-1 4 128678.0
ch01 1-2 4 106529.0
ch01 1-1 4 119891.0
ch01 2-1 3 112577.0
ch01 1-2 3 107259.0
ch01 1-1 3 130899.0
ch01 2-1 3 118184.0
ch01 1-2 3 100541.0
ch01 1-1 3 125083.0
ch01 2-1 2 135022.0
ch01 1-1 0 142556.0
ch01 1-2 2 106313.0
ch01 2-1 2 108134.0
ch01 1-2 2 86870.0
ch01 1-1 2 92459.0
ch01 2-1 2 112717.0
ch01 1-2 2 89689.0
ch01 1-1 2 112046.0
ch01 2-1 1 135579.0
ch01 1-2 1 105381.0
ch01 1-1 1 121130.0
ch01 2-1 1 135765.0
ch01 1-2 1 124818.0
ch01 1-1 1 138328.0
ch01 2-1 0 134649.0
ch01 1-1 2 120868.0
ch02 2-2 14 135630.0
ch01 2-2 23 136736.0
ch03 1-2 0 63124.0
ch03 1-2 22 108723.0
ch03 1-1 22 88617.0
ch03 2-2 22 142674.0
ch03 2-1 22 106254.0
ch03 1-2 22 96998.0
ch03 1-1 22 93523.0
ch03 2-1 22 115402.0
ch03 2-2 21 157616.0
ch03 1-2 21 100544.0
ch03 1-1 21 91925.0
ch03 2-2 21 148929.0
ch03 2-1 21 100178.0
ch03 1-1 21 87506.0
ch03 2-2 20 153103.0
ch03 2-1 21 104744.0
ch03 2-2 22 149433.0
ch03 1-1 22 93665.0
ch03 1-2 22 102521.0
ch04 2-1 16 180948.0
ch04 1-2 16 114227.0
ch04 1-1 16 109135.0
ch03 2-2 23 146176.0
ch03 2-1 23 117774.0
ch03 1-2 23 106301.0
ch03 1-1 23 105737.0
ch03 2-2 23 142751.0
ch03 2-1 23 139388.0
ch03 1-2 23 111077.0
ch03 1-1 23 104350.0
ch01 2-2 24 101313.0
ch01 2-1 24 119484.0
ch03 2-2 22 148037.0
ch03 2-1 22 121357.0
ch03 2-1 20 121257.0
ch03 1-2 20 124355.0
ch03 1-1 20 90444.0
ch03 2-2 20 175863.0
ch03 2-2 18 148179.0
ch03 2-1 18 96223.0
ch03 1-2 18 99702.0
ch03 1-1 18 81861.0
ch03 2-2 18 142872.0
ch03 2-1 18 104370.0
ch03 1-2 18 100919.0
ch03 1-1 18 115398.0
ch03 2-2 17 47905.0
ch03 2-1 17 21398.0
ch03 1-2 17 45464.0
ch03 1-1 17 34567.0
ch03 2-2 17 157221.0
ch03 2-1 17 120670.0
ch03 1-2 17 132253.0
ch03 1-1 18 87470.0
ch04 2-2 16 173112.0
ch03 1-2 18 127593.0
ch03 2-2 18 146806.0
ch03 2-1 20 124747.0
ch03 1-2 20 110293.0
ch03 1-1 20 95494.0
ch03 2-2 20 141632.0
ch03 2-1 20 113328.0
ch03 1-2 20 119251.0
ch03 1-1 20 101498.0
ch03 2-2 19 155157.0
ch03 2-1 19 100280.0
ch03 1-2 19 110388.0
ch03 1-1 19 87743.0
ch03 2-2 19 155570.0
ch03 2-1 19 121324.0
ch03 1-2 19 104305.0
ch03 1-1 19 101404.0
ch03 2-1 18 37861.0
ch03 1-1 17 130620.0
ch04 1-1 17 108922.0
ch04 2-1 17 106823.0
ch04 1-2 22 107287.0
ch04 1-1 22 103530.0
ch04 2-2 21 137190.0
ch04 2-1 21 120500.0
ch04 1-2 21 91052.0
ch04 1-1 21 81975.0
ch04 2-1 22 121945.0
ch04 2-2 21 121233.0
ch04 1-2 21 111451.0
ch04 1-1 21 82845.0
ch04 2-2 21 120195.0
ch04 2-1 21 92668.0
ch04 1-2 21 109047.0
ch04 1-1 21 99099.0
ch04 2-1 21 96883.0
ch04 2-2 22 114915.0
ch04 1-1 22 100131.0
ch04 1-2 22 98128.0
ch04 2-2 24 91281.0
ch04 2-1 24 97355.0
ch04 1-2 24 82896.0
ch03 1-1 0 45709.0
ch04 1-1 24 78203.0
ch04 2-2 23 116101.0
ch04 2-1 23 131278.0
ch04 1-2 23 101412.0
ch04 1-1 23 112517.0
ch04 2-2 23 111851.0
ch04 2-1 23 106972.0
ch04 1-2 23 98537.0
ch04 1-1 23 80413.0
ch04 2-2 22 115309.0
ch04 2-1 22 111133.0
ch04 2-2 20 2985.0
ch04 2-1 20 2905.0
ch04 1-2 20 2469.0
ch04 1-1 20 2360.0
ch04 1-2 18 101743.0
ch04 1-1 18 97174.0
ch04 2-2 18 123549.0
ch04 2-1 18 123431.0
ch04 1-2 18 101899.0
ch04 1-1 18 101029.0
ch04 2-2 17 123903.0
ch04 2-1 17 115832.0
ch04 1-2 17 105504.0
ch04 1-1 17 96486.0
ch04 2-2 17 307081.0
ch04 2-1 17 221292.0
ch04 1-2 17 233472.0
ch04 1-1 17 154950.0
ch04 2-2 17 123504.0
ch04 2-1 18 129907.0
ch04 1-2 17 108402.0
ch04 2-2 18 140917.0
ch04 1-1 19 91354.0
ch04 2-2 20 138021.0
ch04 2-1 20 119130.0
ch04 1-2 20 103186.0
ch04 1-1 20 76408.0
ch04 2-2 19 136647.0
ch04 2-1 19 123193.0
ch04 1-2 19 106933.0
ch04 1-1 19 87344.0
ch04 2-2 19 128793.0
ch04 2-1 19 135478.0
ch04 1-2 19 104999.0
ch04 1-1 19 95801.0
ch04 2-2 19 131507.0
ch04 2-1 19 120391.0
ch04 1-2 19 100082.0
ch01 1-1 23 173210.0
ch03 2-1 16 82339.0
ch03 1-2 21 110284.0
ch03 1-1 16 109766.0
ch03 2-2 7 155145.0
ch03 2-1 7 163053.0
ch03 1-2 7 162671.0
ch03 1-1 7 130110.0
ch03 2-2 7 158550.0
ch03 2-1 7 140591.0
ch03 1-2 7 125710.0
ch03 1-1 7 134727.0
ch03 1-1 7 87142.0
ch03 2-1 6 912078.0
ch03 2-2 5 123268.0
ch03 2-1 5 94864.0
ch03 1-2 5 98419.0
ch03 1-1 5 78990.0
ch03 2-2 5 123862.0
ch03 2-1 5 95883.0
ch03 2-2 6 132872.0
ch03 1-2 5 87401.0
ch03 1-2 7 121499.0
ch03 1-2 16 150352.0
ch03 2-2 9 176815.0
ch03 2-1 9 179127.0
ch03 1-2 9 96770.0
ch03 1-1 9 100639.0
ch03 2-2 9 106997.0
ch03 2-1 9 103379.0
ch03 1-2 9 55519.0
ch03 2-1 7 132957.0
ch03 1-1 9 56175.0
ch03 2-1 8 144243.0
ch03 1-2 8 104635.0
ch03 1-1 8 108600.0
ch03 2-2 8 111353.0
ch03 2-1 8 103226.0
ch03 1-2 8 118323.0
ch03 1-1 8 61057.0
ch03 2-2 8 135973.0
ch03 1-1 9 101836.0
ch03 1-1 5 72407.0
ch03 2-1 5 82723.0
ch03 1-2 3 78407.0
ch03 2-2 2 112884.0
ch03 1-2 2 99317.0
ch03 1-1 2 70928.0
ch03 2-2 2 82571.0
ch03 2-1 2 65589.0
ch03 2-2 1 105225.0
ch03 2-1 3 79967.0
ch03 2-1 1 76080.0
ch03 1-1 1 79978.0
ch03 2-2 0 63732.0
ch03 2-1 0 45723.0
ch03 1-2 0 56168.0
ch03 1-1 0 53310.0
ch03 2-2 0 104019.0
ch03 2-1 0 59478.0
ch03 1-2 1 85404.0
ch03 2-2 5 103952.0
ch03 2-2 3 109887.0
ch03 1-2 3 92583.0
ch03 1-2 5 78595.0
ch03 1-1 5 67667.0
ch03 2-2 4 122548.0
ch03 2-1 4 95814.0
ch03 1-2 4 105342.0
ch03 1-1 4 92935.0
ch03 2-2 4 109421.0
ch03 1-1 3 81109.0
ch03 2-1 4 106451.0
ch03 1-1 4 72769.0
ch03 2-2 3 110174.0
ch03 2-1 3 104357.0
ch03 1-2 3 83440.0
ch03 1-1 3 68563.0
ch03 2-2 3 109554.0
ch03 2-1 3 92641.0
ch03 1-2 4 85994.0
ch03 1-2 9 98778.0
ch03 2-2 7 121286.0
ch03 1-2 14 112643.0
ch03 2-2 13 132747.0
ch03 2-1 13 114985.0
ch01 1-1 24 168366.0
ch03 1-2 13 84864.0
ch03 1-1 13 83460.0
ch03 2-2 13 243134.0
ch03 2-1 13 199681.0
ch03 1-2 13 242697.0
ch03 1-1 13 179421.0
ch03 1-1 14 62237.0
ch03 2-2 13 128421.0
ch03 1-2 13 100658.0
ch03 1-1 13 94247.0
ch03 2-2 12 158666.0
ch03 2-1 12 97383.0
ch03 1-1 12 88902.0
ch03 2-2 12 160236.0
ch03 2-1 12 80623.0
ch03 1-2 12 118671.0
ch03 1-1 12 80394.0
ch03 2-1 13 91654.0
ch03 2-2 11 130574.0
ch03 1-2 14 88734.0
ch03 2-2 14 90636.0
ch03 2-1 16 120275.0
ch03 1-2 16 115290.0
ch03 1-1 16 98571.0
ch03 2-1 16 101025.0
ch03 1-1 16 162373.0
ch03 2-2 15 153228.0
ch03 2-1 15 113042.0
ch03 1-2 15 139452.0
ch03 1-1 15 99084.0
ch03 2-1 14 78499.0
ch03 2-2 15 195468.0
ch03 1-2 15 143060.0
ch03 1-1 15 106650.0
ch03 2-2 14 145402.0
ch03 2-1 14 98102.0
ch03 1-2 14 116614.0
ch03 1-1 14 90147.0
ch03 2-2 14 174005.0
ch03 2-1 14 132850.0
ch03 1-1 14 103023.0
ch03 2-1 15 149020.0
ch03 2-1 11 68181.0
ch03 1-2 12 134948.0
ch03 1-1 11 80632.0
ch03 1-2 11 129635.0
ch03 2-1 9 148222.0
ch03 2-2 9 130545.0
ch03 1-1 10 66320.0
ch03 2-1 10 958835.0
ch03 2-2 10 159109.0
ch03 1-1 10 52934.0
ch03 1-2 10 87504.0
ch03 2-1 10 63911.0
