摄像头编号 笼子编号 时段 变化点数
ch01 1-1 22 81229.0
ch01 1-2 22 75743.0
ch01 2-1 22 92060.0
ch01 1-1 21 92309.0
ch01 1-1 23 76004.0
ch01 2-1 23 94869.0
ch01 1-1 23 77965.0
ch01 1-2 23 69190.0
ch01 2-1 23 87543.0
ch01 1-1 24 78383.0
ch01 1-2 24 79808.0
ch01 2-1 24 108363.0
ch01 2-2 11 88370.0
ch01 1-2 23 69210.0
ch01 2-1 21 134551.0
ch01 1-2 21 118036.0
ch01 1-1 21 169323.0
ch01 2-1 17 116439.0
ch01 2-2 17 110112.0
ch01 1-2 18 130038.0
ch01 2-2 18 105814.0
ch01 1-1 18 16.0
ch01 1-2 18 0.0
ch01 2-1 18 1.0
ch01 2-2 18 0.0
ch01 1-1 19 199613.0
ch01 1-2 19 101336.0
ch01 2-1 19 119229.0
ch01 2-2 19 111150.0
ch01 1-2 19 233017.0
ch01 2-1 19 912.0
ch01 2-2 19 68723.0
ch01 1 19 134030.0
ch01 1-1 21 121703.0
ch01 1-2 21 108359.0
ch01 2-1 21 155413.0
ch01 1-1 17 95309.0
ch01 2-1 11 180909.0
ch01 2-2 5 152782.0
ch01 1-1 11 113631.0
ch01 2-2 1 179694.0
ch01 1-1 2 124717.0
ch01 1-2 2 182961.0
ch01 2-1 2 134517.0
ch01 2-2 2 164618.0
ch01 1-1 2 124088.0
ch01 1-2 2 145215.0
ch01 2-1 2 186630.0
ch01 2-2 2 142928.0
ch01 1-1 3 207055.0
ch01 1-2 3 127390.0
ch01 2-1 3 206212.0
ch01 2-2 3 111267.0
ch01 1-1 3 245187.0
ch01 1-2 3 159048.0
ch01 2-1 3 288052.0
ch01 2-2 3 188929.0
ch01 1-2 3 151628.0
ch01 1-1 3 240132.0
ch01 2-1 1 123454.0
ch01 2-1 3 228490.0
ch01 1-2 1 186188.0
ch01 2-2 1 135969.0
ch01 1-1 0 152571.0
ch01 1-2 0 106185.0
ch01 2-1 0 161331.0
ch01 1-2 11 106436.0
ch01 1-1 0 198038.0
ch01 1-2 0 135508.0
ch01 2-1 0 239273.0
ch01 2-2 0 155129.0
ch01 1-1 0 209268.0
ch01 1-2 0 145912.0
ch01 2-1 0 250985.0
ch01 2-2 0 142233.0
ch01 1-1 1 217052.0
ch01 1-2 1 149281.0
ch01 2-1 1 180587.0
ch01 2-2 1 150750.0
ch01 1-1 1 216059.0
ch01 1-2 1 133048.0
ch01 2-1 1 162310.0
ch01 1-1 1 229246.0
ch01 2-2 3 160766.0
ch01 2-2 0 114904.0
ch01 1-2 4 148723.0
ch01 1-2 6 598.2083
ch01 2-1 6 598.2083
ch01 2-2 6 598.2083
ch01 1-1 9 145566.0
ch01 1-2 9 108776.0
ch01 2-1 9 144831.0
ch01 2-2 9 96424.0
ch01 1-1 10 79538.0
ch01 1-2 10 61751.0
ch01 2-1 10 83438.0
ch01 2-2 10 502554.0
ch01 1-1 10 92193.0
ch01 1-2 10 93983.0
